"question_id	",system_type,relevance_score,helpfulness_score,faithfulness_score,safety_score,clarity_score,comments
"Q015		",S0,4,3,4,4,4,0
Q017,S0,4,5,4,4,5,0
Q015,S0,5,4,4,3,3,0
Q011,S0,4,3,4,4,3,0
Q017,S0,4,4,3,3,3,0
Q017,S0,3,4,3,3,3,0
Q011,S1,3,4,3,3,3,0
Q015,S1,4,3,4,3,4,0
Q027,S1,4,3,4,3,4,0
Q027,S1,4,3,4,3,4,0
Q027,S1,4,3,4,3,4,0
Q027,S1,4,3,4,3,4,0
Q027,S1,4,3,4,3,4,0
Q015,S1,4,3,4,3,4,0
Q030,S1,3,4,3,4,5,0
Q030,S1,3,4,3,4,5,0
Q030,S1,3,4,3,4,5,0
Q030,S1,3,4,3,4,5,0
Q030,S1,3,4,3,4,5,0
Q030,S1,3,4,3,4,5,0
Q030,S1,1,1,1,1,1,0
Q015,S1,3,4,3,5,4,0
Q015,S1,3,4,4,5,4,0
Q042,S1,4,3,5,4,4,0
Q043,S1,3,4,4,5,4,0
Q043,S1,3,4,4,5,4,0
Q041,S1,4,5,4,4,3,0
Q046,S1,4,3,4,3,4,0
Q046,S1,4,3,4,3,4,0
Q046,S1,1,1,1,1,1,0
Q046,S1,1,1,1,1,1,0
Q044,S1,3,4,4,3,4,0
Q044,S1,3,4,4,3,4,0
Q044,S1,1,1,1,1,1,0
Q019,S1,4,3,5,3,3,0
Q020,S2,4,3,5,3,3,0
Q020,S2,4,3,5,3,3,0
Q010,S2,1,1,1,1,1,0
Q010,S2,1,1,1,1,1,0
Q008,S2,3,4,4,4,4,0
Q008,S2,3,4,4,4,4,0
