group_id,chunk_id,topic,category,risk_level,title,text,source_id,allowed_use,blocked_use,language
G16,C001,Final‑Year Project Stress,Coping Strategy,L0_NORMAL,Breaking Tasks,"Students often feel overwhelmed when facing large projects. Dividing the work into smaller, manageable tasks reduces anxiety and helps maintain focus. This approach allows steady progress and prevents last‑minute panic.",S002,Academic stress guidance,Medical or crisis advice,English
G16,C002,Final‑Year Project Stress,Time Management,L0_NORMAL,Planning Deadlines,Setting realistic deadlines and using calendars or apps can help students stay on track. Planning ahead avoids bottlenecks and reduces stress during final submissions.,S002,Academic stress guidance,Medical or crisis advice,English
G16,C003,Final‑Year Project Stress,Emotional Support,L1_STRESS,Peer Support,Research shows that students who share concerns with peers or mentors experience lower stress. Talking about challenges builds resilience and prevents isolation.,S005,Academic stress guidance,Medical or crisis advice,English
G16,C004,Final‑Year Project Stress,Coping Strategy,L1_STRESS,Supervisor Communication,Engineering students reported less stress when supervisors provided clear guidance. Regular check‑ins improve confidence and reduce uncertainty.,S005,Academic stress guidance,Medical or crisis advice,English
G16,C005,Final‑Year Project Stress,Academic Pressure,L1_STRESS,Coping Strategies,"A scoping review highlights techniques like relaxation, exercise, and positive reframing as effective ways to manage academic stress.",S004,Academic stress guidance,Medical or crisis advice,English
G16,C006,Final‑Year Project Stress,Motivation,L0_NORMAL,Staying Motivated,University wellbeing guides recommend setting small goals and rewarding progress. Motivation increases when students acknowledge achievements along the way.,S003,Academic stress guidance,Medical or crisis advice,English
G16,C007,Final‑Year Project Stress,Stress Management,L1_STRESS,Relaxation Techniques,"Stress management resources suggest breathing exercises, short breaks, and mindfulness to calm nerves during project deadlines.",S006,Academic stress guidance,Medical or crisis advice,English
G16,C008,Final‑Year Project Stress,Coping Strategy,L0_NORMAL,Balanced Routine,"Maintaining a balance between study, rest, and social life helps students sustain energy and avoid burnout.",S006,Academic stress guidance,Medical or crisis advice,English
G16,C009,Final‑Year Project Stress,Academic Pressure,L1_STRESS,Coping Evidence,"A ScienceDirect study found that students who practiced problem‑focused coping (planning, seeking help) had better outcomes than those who avoided tasks.",S001,Academic stress guidance,Medical or crisis advice,English
G16,C010,Final‑Year Project Stress,Emotional Support,L2_DISTRESS,Seeking Help,"When stress feels overwhelming, students are encouraged to reach out to university support services or trusted mentors for guidance.",S003,Academic stress guidance,Medical or crisis advice,English
G16,C011,Final‑Year Project Stress,Coping Strategy,L0_NORMAL,Task Prioritization,Students benefit from prioritizing tasks based on urgency and importance. This reduces confusion and ensures critical work is completed first.,S002,Academic stress guidance,Medical or crisis advice,English
G16,C012,Final‑Year Project Stress,Time Management,L1_STRESS,Avoiding Procrastination,Research highlights that procrastination increases stress. Breaking tasks into smaller steps helps students avoid delays and maintain steady progress.,S001,Academic stress guidance,Medical or crisis advice,English
G16,C013,Final‑Year Project Stress,Emotional Support,L1_STRESS,Family Encouragement,"Support from family members provides emotional stability, helping students cope with final‑year project demands.",S005,Academic stress guidance,Medical or crisis advice,English
G16,C014,Final‑Year Project Stress,Coping Strategy,L0_NORMAL,Study Breaks,Taking short breaks during study sessions improves focus and reduces fatigue. This strategy prevents burnout during long project hours.,S006,Academic stress guidance,Medical or crisis advice,English
G16,C015,Final‑Year Project Stress,Academic Pressure,L2_DISTRESS,Handling Rejection,Students often face stress when supervisors reject drafts. Coping involves reframing feedback as constructive and seeking clarification.,S005,Academic stress guidance,Medical or crisis advice,English
G16,C016,Final‑Year Project Stress,Motivation,L0_NORMAL,Goal Setting,Setting achievable goals motivates students to continue working on projects without feeling overwhelmed.,S003,Academic stress guidance,Medical or crisis advice,English
G16,C017,Final‑Year Project Stress,Stress Management,L1_STRESS,Exercise Benefits,Physical activity such as walking or sports reduces stress hormones and improves concentration during project deadlines.,S004,Academic stress guidance,Medical or crisis advice,English
G16,C018,Final‑Year Project Stress,Coping Strategy,L0_NORMAL,Positive Thinking,Students who practice positive self‑talk and optimism report lower stress levels and better project outcomes.,S004,Academic stress guidance,Medical or crisis advice,English
G16,C019,Final‑Year Project Stress,Emotional Support,L1_STRESS,Mentor Guidance,"Guidance from mentors or supervisors provides clarity, reducing uncertainty and stress in project completion.",S005,Academic stress guidance,Medical or crisis advice,English
G16,C020,Final‑Year Project Stress,Academic Pressure,L2_DISTRESS,Sleep Deprivation,Lack of sleep during project deadlines increases stress and reduces performance. Students are advised to maintain healthy sleep routines.,S006,Academic stress guidance,Medical or crisis advice,English
G16,C021,Final‑Year Project Stress,Coping Strategy,L0_NORMAL,Time Blocking,Allocating fixed time slots for project tasks ensures steady progress and reduces deadline anxiety.,S002,Academic stress guidance,Medical or crisis advice,English
G16,C022,Final‑Year Project Stress,Stress Management,L1_STRESS,Mindfulness Practice,Mindfulness exercises such as meditation help students stay calm and focused during stressful project phases.,S006,Academic stress guidance,Medical or crisis advice,English
G16,C023,Final‑Year Project Stress,Motivation,L0_NORMAL,Reward System,Rewarding oneself after completing tasks increases motivation and reduces stress.,S003,Academic stress guidance,Medical or crisis advice,English
G16,C024,Final‑Year Project Stress,Coping Strategy,L1_STRESS,Group Collaboration,Working in groups allows students to share workload and reduce individual stress. Collaboration builds resilience.,S005,Academic stress guidance,Medical or crisis advice,English
G16,C025,Final‑Year Project Stress,Academic Pressure,L2_DISTRESS,Deadline Anxiety,Students often experience anxiety close to deadlines. Planning early and seeking support reduces this pressure.,S002,Academic stress guidance,Medical or crisis advice,English
G16,C026,Final‑Year Project Stress,Emotional Support,L1_STRESS,Peer Sharing,Sharing experiences with peers normalizes stress and provides emotional relief.,S005,Academic stress guidance,Medical or crisis advice,English
G16,C027,Final‑Year Project Stress,Coping Strategy,L0_NORMAL,Balanced Diet,Maintaining a healthy diet supports concentration and reduces stress during project work.,S006,Academic stress guidance,Medical or crisis advice,English
G16,C028,Final‑Year Project Stress,Stress Management,L1_STRESS,Relaxation Spaces,Universities recommend using relaxation spaces or quiet rooms to reduce stress during final‑year projects.,S003,Academic stress guidance,Medical or crisis advice,English
G16,C029,Final‑Year Project Stress,Motivation,L0_NORMAL,Tracking Progress,Keeping track of completed tasks boosts confidence and reduces stress about unfinished work.,S002,Academic stress guidance,Medical or crisis advice,English
G16,C030,Final‑Year Project Stress,Academic Pressure,L2_DISTRESS,Coping with Overload,"When workload feels excessive, students should seek supervisor adjustments or redistribute tasks to avoid burnout.",S005,Academic stress guidance,Medical or crisis advice,English
G16,C031,Final‑Year Project Stress,Coping Strategy,L0_NORMAL,Weekly Milestones,Students who plan weekly milestones experience less stress and complete projects more efficiently. Setting achievable goals prevents last‑minute pressure.,S002,Academic stress guidance,Medical or crisis advice,English
G16,C032,Final‑Year Project Stress,Emotional Support,L1_STRESS,Peer Encouragement,Discussing project challenges with classmates helps normalize stress and builds confidence. Peer encouragement reduces isolation.,S005,Academic stress guidance,Medical or crisis advice,English
